nome,lista,link
ADI 3734,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=85141&amp;data=18/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=170-2019
ADI 1220,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=85143&amp;data=18/12/2019&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=O&amp;lista=244-2019
ADI 5803,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84362&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=274-2019
ADI 5704,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84361&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=273-2019
ADI 4943,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=80807&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=124-2019
ADI 4758,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83369&amp;data=11/12/2019&amp;ministro=MIN.C%C3%81RMENL%C3%9ACIA&amp;colegiado=TP&amp;sessao=O&amp;lista=231-2019
ADI 2658,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=81758&amp;data=11/12/2019&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=O&amp;lista=21-2019
ADI 3550,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83125&amp;data=11/12/2019&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=O&amp;lista=22-2019
ADI 3250,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82519&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=169-2019
ADI 3261,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83144&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=170-2019
ADI 5182,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82410&amp;data=11/12/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=O&amp;lista=146-2019
ADI 4619,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82424&amp;data=11/12/2019&amp;ministro=MIN.ROSAWEBER&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA1
ADI 5087,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=81987&amp;data=11/12/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA2
ADI 5003,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=73719&amp;data=05/12/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=1-2019
ADI 4545,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=79984&amp;data=05/12/2019&amp;ministro=MIN.ROSAWEBER&amp;colegiado=TP&amp;sessao=E&amp;lista=67-2019
ADI 4914,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=79384&amp;data=04/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=77-2019
ADI 3763,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=73300&amp;data=04/12/2019&amp;ministro=MIN.C%C3%81RMENL%C3%9ACIA&amp;colegiado=TP&amp;sessao=O&amp;lista=5-2019
ADI 4975,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=81227&amp;data=10/10/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=E&amp;lista=169-2019
ADI 3734,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=81228&amp;data=10/10/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=E&amp;lista=170-2019
ADI 3977,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=81264&amp;data=10/10/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=E&amp;lista=171-2019
ADI 3567,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=79388&amp;data=10/10/2019&amp;ministro=MIN.RICARDOLEWANDOWSKI&amp;colegiado=TP&amp;sessao=E&amp;lista=37-2019
ADI 4846,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=79772&amp;data=09/10/2019&amp;ministro=MIN.EDSONFACHIN&amp;colegiado=TP&amp;sessao=E&amp;lista=111-2019
ADI 4021,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=73119&amp;data=03/10/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=13-2019
ADI 3145,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=73139&amp;data=03/10/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=14-2019
ADI 4705,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=70760&amp;data=03/10/2019&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=22-2019
ADI 3536,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=74873&amp;data=03/10/2019&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=24-2019
ADI 2952,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=75641&amp;data=03/10/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=49-2019
ADI 3845,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=80344&amp;data=03/10/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=193-2019
